x,y
391.419982910156,-427.579956054688
391.409973144531,-431.369995117188
391.369995117188,-432.7099609375
391.280029296875,-434.070007324219
391.119995117188,-435.419982910156
390.869995117188,-436.739990234375
390.5,-438.019958496094
390,-439.22998046875
389.349975585938,-440.349975585938
388.510009765625,-441.359985351562
386.380004882812,-442.909973144531
383.909973144531,-443.760009765625
381.210021972656,-444.119995117188
378.359985351562,-444.200012207031
375.460021972656,-444.219970703125
372.609985351562,-444.399963378906
369.890014648438,-444.929992675781
367.409973144531,-446.049987792969
367.400024414062,-446.059997558594
367.390014648438,-446.059997558594
367.380004882812,-446.070007324219
367.369995117188,-446.079956054688
367.359985351562,-446.089965820312
367.349975585938,-446.089965820312
367.340026855469,-446.099975585938
359.109985351562,-444
350.780029296875,-442.349975585938
342.380004882812,-441.149963378906
333.919982910156,-440.399963378906
331.859985351562,-440.309997558594
330.72998046875,-440.289978027344
330.5,-440.289978027344
329.799987792969,-440.269958496094
329.349975585938,-440.269958496094
325.789978027344,-440.329956054688
325.650024414062,-440.329956054688
323.739990234375,-440.409973144531
317.580017089844,-440.72998046875
313.469970703125,-440.919982910156
311.780029296875,-440.97998046875
309.380004882812,-441.029968261719
308.640014648438,-441.039978027344
306.890014648438,-441.019958496094
304.830017089844,-440.9599609375
301.27001953125,-440.700012207031
300.72998046875,-440.640014648438
300.5,-440.659973144531
300.5,-399.399963378906
300.72998046875,-399.429992675781
310.25,-398.549987792969
319.719970703125,-398.469970703125
329.150024414062,-398.97998046875
338.570007324219,-399.859985351562
347.989990234375,-400.919982910156
357.429992675781,-401.940002441406
366.919982910156,-402.700012207031
376.469970703125,-403
378.010009765625,-403.039978027344
379.619995117188,-403.109985351562
381.260009765625,-403.169982910156
382.929992675781,-403.149963378906
384.580017089844,-402.989990234375
386.200012207031,-402.649963378906
387.760009765625,-402.059997558594
389.22998046875,-401.169982910156
389.739990234375,-404.929992675781
390.190002441406,-408.700012207031
390.580017089844,-412.4599609375
390.909973144531,-416.239990234375
391.169982910156,-420.010009765625
391.340026855469,-423.789978027344
