x,y
389.22998046875,-401.159973144531
389.22998046875,-401.169982910156
387.760009765625,-402.059997558594
386.200012207031,-402.649963378906
384.580017089844,-402.989990234375
382.929992675781,-403.149963378906
381.260009765625,-403.169982910156
379.619995117188,-403.109985351562
378.010009765625,-403.039978027344
376.469970703125,-403
366.919982910156,-402.700012207031
357.429992675781,-401.940002441406
347.989990234375,-400.919982910156
338.570007324219,-399.859985351562
329.150024414062,-398.97998046875
319.719970703125,-398.469970703125
310.25,-398.549987792969
300.72998046875,-399.429992675781
300.5,-399.399963378906
300.5,-346.989990234375
300.72998046875,-347
310.77001953125,-346.7099609375
320.809997558594,-346.589965820312
330.849975585938,-346.640014648438
340.890014648438,-346.849975585938
350.919982910156,-347.22998046875
360.940002441406,-347.769958496094
370.960021972656,-348.47998046875
380.960021972656,-349.359985351562
381.789978027344,-355.839965820312
382.75,-362.320007324219
383.809997558594,-368.789978027344
384.929992675781,-375.260009765625
386.070007324219,-381.72998046875
387.190002441406,-388.200012207031
388.260009765625,-394.679992675781
