x,y
551.849975585938,-359.47998046875
551.547528743744,-361.832709431648
551.164684295654,-364.171849250793
550.700741291046,-366.495054602623
550.154998779297,-368.799980163574
549.526755809784,-371.084280610085
548.815311431885,-373.345610618591
548.019964694977,-375.581624865532
547.140014648438,-377.789978027344
546.268805027008,-379.778347849846
545.337825775146,-381.732493400574
544.351062297821,-383.65476000309
543.3125,-385.547492980957
542.226124286652,-387.413037657738
541.095920562744,-389.253739356995
539.925874233246,-391.07194340229
538.719970703125,-392.869995117188
521.760117053986,-391.904380202293
504.838581085205,-390.292010307312
488.019933223724,-387.95706474781
471.368743896484,-384.823722839355
454.949583530426,-380.816163897514
438.82702255249,-375.858567237854
423.065631389618,-369.875112175941
407.72998046875,-362.789978027344
404.99400305748,-361.377629041672
402.280294418335,-359.919347763062
399.595181703568,-358.409507989883
396.94499206543,-356.842483520508
394.336052656174,-355.212648153305
391.774690628052,-353.514375686646
389.267233133316,-351.7420399189
386.820007324219,-349.890014648438
386.820007324219,-349.888763427734
386.820007324219,-349.887512207031
386.820007324219,-349.886260986328
386.820007324219,-349.885009765625
386.820007324219,-349.883758544922
386.820007324219,-349.882507324219
386.820007324219,-349.881256103516
386.820007324219,-349.880004882812
386.808748960495,-349.714554309845
386.797494888306,-349.548282623291
386.786243677139,-349.381307125092
386.774993896484,-349.213745117188
386.763744115829,-349.04571390152
386.752492904663,-348.877330780029
386.741238832474,-348.708713054657
386.72998046875,-348.539978027344
401.452669143677,-350.591658592224
416.197032928467,-352.479042053223
430.961315155029,-354.201893806458
445.743759155273,-355.759979248047
460.542608261108,-357.153063774109
475.356105804443,-358.380912780762
490.182495117188,-359.443291664124
505.02001953125,-360.339965820312
510.881146550179,-360.643865585327
516.752820014954,-360.890453338623
522.628712058067,-361.049613952637
528.502494812012,-361.091232299805
534.367840409279,-360.985193252563
540.218420982361,-360.70138168335
546.04790866375,-360.2096824646
