x,y
382.179992675781,-300.570007324219
381.760009765625,-303.219970703125
381.369995117188,-305.880004882812
381,-308.529968261719
380.669982910156,-311.190002441406
380.380004882812,-313.849975585938
380.130004882812,-316.510009765625
379.919982910156,-319.169982910156
379.77001953125,-321.839965820312
379.650024414062,-325.289978027344
379.619995117188,-328.739990234375
379.669982910156,-332.179992675781
379.799987792969,-335.630004882812
380,-339.059997558594
380.260009765625,-342.5
380.580017089844,-345.929992675781
380.960021972656,-349.359985351562
370.960021972656,-348.47998046875
360.940002441406,-347.769958496094
350.919982910156,-347.22998046875
340.890014648438,-346.849975585938
330.849975585938,-346.640014648438
320.809997558594,-346.589965820312
310.77001953125,-346.7099609375
300.72998046875,-347
300.5,-346.989990234375
300.5,-292.989990234375
300.72998046875,-292.989990234375
310.969970703125,-293.190002441406
321.200012207031,-293.609985351562
331.409973144531,-294.239990234375
341.619995117188,-295.079956054688
351.799987792969,-296.130004882812
361.960021972656,-297.399963378906
372.090026855469,-298.880004882812
