x,y
440.559997558594,-532.079956054688
438.479371070862,-533.678426742554
436.064994812012,-534.705001831055
433.433123588562,-535.266557693481
430.700012207031,-535.469970703125
430.101732254028,-535.479512214661
429.506256103516,-535.478736877441
428.912656784058,-535.468588829041
428.320007324219,-535.450012207031
417.610939025879,-534.13436794281
407.237503051758,-531.14998626709
397.452819824219,-526.590611457825
388.510009765625,-520.549987792969
386.049836158752,-518.457644462585
383.761238098145,-516.178733825684
381.744517326355,-513.680451393127
380.099975585938,-510.929992675781
378.957178115845,-507.90825843811
378.442489624023,-504.718719482422
378.65154838562,-501.534811019897
379.679992675781,-498.529968261719
381.556408882141,-496.13247013092
384.063743591309,-494.582481384277
386.951697349548,-493.748744010925
389.969970703125,-493.5
390.190602302551,-493.5
390.714988708496,-493.5
391.336867332458,-493.5
391.849975585938,-493.5
401.210454940796,-496.457637786865
410.423751831055,-499.851226806641
419.470170974731,-503.674198150635
428.330017089844,-507.919982910156
431.849220275879,-509.798271179199
435.221252441406,-511.928741455078
438.265159606934,-514.432334899902
440.799987792969,-517.429992675781
442.531562805176,-521.035305976868
443.177505493164,-524.979988098145
442.574691772461,-528.812163352966
