x,y
458.780029296875,-496.909973144531
457.767811775208,-498.552165985107
456.652488708496,-500.124984741211
455.36842250824,-501.525295257568
453.849975585938,-502.649963378906
452.104521751404,-503.3924741745
450.23624420166,-503.78247833252
448.302334785461,-503.921227455139
446.359985351562,-503.909973144531
446.174049377441,-503.904030799866
445.989990234375,-503.899971008301
445.805931091309,-503.895922660828
445.619995117188,-503.890014648438
431.703584671021,-502.599368095398
418.041244506836,-499.662483215332
404.823278427124,-495.131859779358
392.239990234375,-489.059997558594
389.753133773804,-487.605621337891
387.360015869141,-486.004989624023
385.146890640259,-484.194358825684
383.200012207031,-482.109985351562
381.633756637573,-479.68248462677
380.592498779297,-476.992485046387
380.207490921021,-474.178740501404
380.609985351562,-471.380004882812
381.274680137634,-469.743427276611
382.185005187988,-468.224975585938
383.267827033997,-466.804027557373
384.450012207031,-465.4599609375
386.002025604248,-463.814039230347
387.611236572266,-462.22248840332
389.274829864502,-460.687173843384
390.989990234375,-459.2099609375
393.400296211243,-457.666221618652
396.074989318848,-456.774978637695
398.88468837738,-456.56623840332
401.700012207031,-457.070007324219
414.427505493164,-461.035003662109
427.154998779297,-465
439.88249206543,-468.964996337891
452.609985351562,-472.929992675781
454.467339515686,-473.611700057983
456.241249084473,-474.476226806641
457.904528617859,-475.530130386353
459.429992675781,-476.779968261719
462.762504577637,-481.789987564087
463.080001831055,-486.964996337891
461.410003662109,-492.079992294312
