x,y
372.75,-483.4599609375
372.22998046875,-487.969970703125
370.390014648438,-491.869995117188
367.119995117188,-494.510009765625
367.109985351562,-494.510009765625
367.099975585938,-494.510009765625
367.080017089844,-494.519958496094
367.070007324219,-494.519958496094
358.780029296875,-494.609985351562
350.489990234375,-494.690002441406
342.190002441406,-494.779968261719
333.900024414062,-494.859985351562
325.609985351562,-494.950012207031
317.309997558594,-495.039978027344
309.02001953125,-495.119995117188
300.72998046875,-495.2099609375
300.5,-495.2099609375
300.5,-440.679992675781
300.72998046875,-440.669982910156
301,-440.679992675781
301.27001953125,-440.700012207031
304.830017089844,-440.9599609375
306.890014648438,-441.019958496094
308.640014648438,-441.039978027344
309.380004882812,-441.029968261719
311.780029296875,-440.97998046875
313.119995117188,-440.940002441406
313.469970703125,-440.919982910156
317.580017089844,-440.72998046875
323.739990234375,-440.409973144531
325.789978027344,-440.329956054688
329.349975585938,-440.269958496094
330.5,-440.289978027344
330.72998046875,-440.289978027344
331.859985351562,-440.309997558594
333.919982910156,-440.399963378906
342.380004882812,-441.149963378906
350.780029296875,-442.349975585938
359.109985351562,-444
367.340026855469,-446.099975585938
364.390014648438,-449.260009765625
363.010009765625,-453.440002441406
362.97998046875,-458.070007324219
364.090026855469,-462.570007324219
365.989990234375,-466.719970703125
368.190002441406,-470.72998046875
370.330017089844,-474.760009765625
372.030029296875,-478.97998046875
