x,y
538.719970703125,-392.869995117188
536.093225836754,-396.571354150772
533.358428001404,-400.211545944214
530.550031781197,-403.81095957756
527.702491760254,-407.389984130859
524.850262522697,-410.969008684158
522.027798652649,-414.568422317505
519.26955473423,-418.208614110947
516.609985351562,-421.909973144531
515.78245651722,-423.112083673477
514.964066505432,-424.324975967407
514.153643012047,-425.547243833542
513.35001373291,-426.777481079102
512.552006363869,-428.014281511307
511.758448600769,-429.256238937378
510.968168139458,-430.501947164536
510.179992675781,-431.75
503.255037903786,-431.123767256737
496.341565132141,-430.377654075623
489.441683650017,-429.511777043343
482.557502746582,-428.526252746582
475.691131711006,-427.421197772026
468.844679832458,-426.19672870636
462.020256400108,-424.852962136269
455.219970703125,-423.390014648438
451.866646766663,-422.623898148537
448.517654418945,-421.839852333069
445.170767784119,-421.048071742058
441.823760986328,-420.258750915527
438.474408149719,-419.482084393501
435.120483398438,-418.728266716003
431.759760856628,-418.007492423058
428.390014648438,-417.329956054688
424.269418478012,-416.572005391121
420.135934829712,-415.895611763
415.990735292435,-415.300775885582
411.834991455078,-414.787498474121
407.66987490654,-414.355780243874
403.496557235718,-414.005621910095
399.316210031509,-413.737024188042
395.130004882812,-413.549987792969
393.914216160774,-405.762169241905
392.693741798401,-397.974352836609
391.497644782066,-390.183725476265
390.354988098145,-382.387474060059
389.294834733009,-374.582785487175
388.346247673035,-366.766846656799
387.538289904594,-358.936844468117
386.900024414062,-351.089965820312
386.888785600662,-350.940387487411
386.877668380737,-350.791391372681
386.866788625717,-350.642627000809
386.856262207031,-350.493743896484
386.846204996109,-350.344391584396
386.83673286438,-350.194219589233
386.827961683273,-350.042877435684
386.820007324219,-349.890014648438
389.267233133316,-351.7420399189
391.774690628052,-353.514375686646
394.336052656174,-355.212648153305
396.94499206543,-356.842483520508
399.595181703568,-358.409507989883
402.280294418335,-359.919347763062
404.99400305748,-361.377629041672
407.72998046875,-362.789978027344
423.065631389618,-369.875112175941
438.82702255249,-375.858567237854
454.949583530426,-380.816163897514
471.368743896484,-384.823722839355
488.019933223724,-387.95706474781
504.838581085205,-390.292010307312
521.760117053986,-391.904380202293
