x,y
388.159973144531,-230.469970703125
384.710021972656,-229.22998046875
381.359985351562,-227.679992675781
378.109985351562,-225.859985351562
374.969970703125,-223.809997558594
371.929992675781,-221.570007324219
368.989990234375,-219.179992675781
366.150024414062,-216.679992675781
363.419982910156,-214.099975585938
360.010009765625,-210.719970703125
356.630004882812,-207.289978027344
353.22998046875,-203.880004882812
349.760009765625,-200.559997558594
346.190002441406,-197.369995117188
342.47998046875,-194.399963378906
338.580017089844,-191.690002441406
334.450012207031,-189.309997558594
330.510009765625,-187.5
326.460021972656,-186.010009765625
322.299987792969,-184.820007324219
318.070007324219,-183.859985351562
313.77001953125,-183.099975585938
309.440002441406,-182.5
305.080017089844,-182
300.72998046875,-181.579956054688
300.5,-181.599975585938
300.5,-150.329956054688
300.72998046875,-150.309997558594
306.590026855469,-150.820007324219
312.440002441406,-151.380004882812
318.280029296875,-151.97998046875
324.119995117188,-152.640014648438
329.950012207031,-153.339965820312
335.780029296875,-154.079956054688
341.599975585938,-154.880004882812
347.409973144531,-155.719970703125
348,-155.809997558594
348.590026855469,-155.899963378906
349.179992675781,-155.989990234375
349.760009765625,-156.079956054688
350.349975585938,-156.179992675781
350.940002441406,-156.279968261719
351.530029296875,-156.380004882812
352.119995117188,-156.489990234375
352.309997558594,-156.799987792969
352.489990234375,-157.109985351562
352.679992675781,-157.419982910156
352.869995117188,-157.72998046875
353.059997558594,-158.039978027344
353.239990234375,-158.349975585938
353.429992675781,-158.659973144531
353.609985351562,-158.969970703125
354.97998046875,-161.279968261719
356.359985351562,-163.579956054688
357.72998046875,-165.890014648438
359.109985351562,-168.190002441406
360.47998046875,-170.5
361.849975585938,-172.809997558594
363.22998046875,-175.109985351562
364.599975585938,-177.419982910156
368.330017089844,-183.7099609375
372,-190.070007324219
375.530029296875,-196.510009765625
378.830017089844,-203.039978027344
381.820007324219,-209.690002441406
384.429992675781,-216.4599609375
386.570007324219,-223.390014648438
