x,y
538.859985351562,-308.140014648438
522.353391766548,-308.638437271118
505.835309028625,-309.318740844727
489.342067122459,-310.308423995972
472.909996032715,-311.734985351562
456.575425744057,-313.725923538208
440.37468624115,-316.408737182617
424.344107508659,-319.910924911499
408.52001953125,-324.359985351562
405.435421586037,-325.371599674225
402.36266040802,-326.475444793701
399.337010264397,-327.699996471405
396.393745422363,-329.07373046875
393.568140149117,-330.62512254715
390.895468711853,-332.382648468018
388.411005377769,-334.374783992767
386.150024414062,-336.630004882812
386.052962660789,-332.408217191696
386.031725883484,-328.164518356323
386.097445607185,-323.908869028091
386.261253356934,-319.651229858398
386.534280657768,-315.401561498642
386.927659034729,-311.16982460022
387.452520012856,-306.965979814529
388.119995117188,-302.799987792969
389.540519952774,-297.170137763023
391.708585739136,-291.871230125427
394.566418409348,-286.96420109272
398.056243896484,-282.509986877441
402.120288133621,-278.569523692131
406.700777053833,-275.203747749329
411.739936590195,-272.473595261574
417.179992675781,-270.440002441406
418.381128311157,-270.079647302628
419.585308074951,-269.71343421936
420.793704986572,-269.344877958298
422.00749206543,-268.977493286133
423.227842330933,-268.614794969559
424.45592880249,-268.260297775269
425.692924499512,-267.917516469955
426.940002441406,-267.589965820312
430.396816492081,-266.771929860115
433.879529953003,-266.072484016418
437.384041547775,-265.491159796715
440.90625,-265.027488708496
444.442054033279,-264.681002259254
447.987352371216,-264.451231956482
451.538043737411,-264.337709307671
455.090026855469,-264.339965820312
462.324243426323,-264.696156620979
469.52189540863,-265.530121803284
476.649233460426,-266.8386977911
483.672508239746,-268.618721008301
490.557970404625,-270.867027878761
497.271870613098,-273.580454826355
503.780459523201,-276.755838274956
510.049987792969,-280.390014648438
514.248014330864,-283.17789375782
518.304831504822,-286.174370765686
522.205790162086,-289.372413992882
525.936241149902,-292.764991760254
529.481535315514,-296.345072388649
532.827023506165,-300.105624198914
535.958056569099,-304.039615511894
