x,y
352.119995117188,-156.489990234375
351.530029296875,-156.380004882812
350.940002441406,-156.279968261719
350.349975585938,-156.179992675781
349.760009765625,-156.079956054688
349.179992675781,-155.989990234375
348.590026855469,-155.899963378906
348,-155.809997558594
347.409973144531,-155.719970703125
341.599975585938,-154.880004882812
335.780029296875,-154.079956054688
329.950012207031,-153.339965820312
324.119995117188,-152.640014648438
318.280029296875,-151.97998046875
312.440002441406,-151.380004882812
306.590026855469,-150.820007324219
300.72998046875,-150.309997558594
300.5,-150.329956054688
300.5,-132.22998046875
300.72998046875,-132.22998046875
305.719970703125,-132.25
310.75,-132.380004882812
315.780029296875,-132.700012207031
320.75,-133.299987792969
325.590026855469,-134.269958496094
330.260009765625,-135.700012207031
334.700012207031,-137.669982910156
338.840026855469,-140.279968261719
340.880004882812,-141.929992675781
342.780029296875,-143.72998046875
344.559997558594,-145.659973144531
346.22998046875,-147.690002441406
347.799987792969,-149.809997558594
349.299987792969,-152
350.72998046875,-154.22998046875
