x,y
389.539978027344,-247.849975585938
389.22998046875,-255.359985351562
388.510009765625,-262.869995117188
387.469970703125,-270.399963378906
386.22998046875,-277.929992675781
384.869995117188,-285.4599609375
383.47998046875,-293.010009765625
382.179992675781,-300.570007324219
372.090026855469,-298.880004882812
361.960021972656,-297.399963378906
351.799987792969,-296.130004882812
341.619995117188,-295.079956054688
331.409973144531,-294.239990234375
321.200012207031,-293.609985351562
310.969970703125,-293.190002441406
300.72998046875,-292.989990234375
300.5,-292.989990234375
300.5,-227.489990234375
300.72998046875,-227.469970703125
308.419982910156,-228.140014648438
316.090026855469,-228.950012207031
323.75,-229.899963378906
331.390014648438,-231
339,-232.239990234375
346.590026855469,-233.630004882812
354.150024414062,-235.159973144531
361.679992675781,-236.829956054688
365.109985351562,-237.630004882812
368.549987792969,-238.409973144531
372.02001953125,-239.140014648438
375.489990234375,-239.760009765625
378.960021972656,-240.239990234375
382.440002441406,-240.529968261719
385.900024414062,-240.579956054688
389.349975585938,-240.349975585938
